"raw_row_number","date","time","location","county_name","subject_age","subject_race","subject_sex","type","violation","speed","posted_speed","vehicle_color","vehicle_make","vehicle_model","vehicle_type","vehicle_registration_state","vehicle_year","raw_RACE","Dark"
4017059,2014-10-15,19H 18M 0S,"87|87|1 - INTERSTATE","Albany County",24,"white","female","vehicular","SPEED IN ZONE",82,65,"gy - grey","mazd",NA,"1 - passenger","NY",2007,"- - WHITE",0
4017198,2014-11-02,19H 9M 0S,NA,"Onondaga County",19,"black","male","vehicular","NO/INADEQUATE LIGHTS",NA,NA,"br- brown","niss",NA,"1 - passenger","NY",2000,"- - BLACK",0
4017255,2014-10-24,19H 55M 0S,"SSP W/B 31|SSPK|9 - PARKWAY","Nassau County",27,"white","male","vehicular","NO/INSUFFICIENT TAIL LAMPS (DVR SIDE LAMP OUT)",NA,NA,"br- brown","niss",NA,"1 - passenger","MA",2009,"- - WHITE",0
4017313,2014-11-12,19H 50M 0S,"I-90 E/B|90|1 - INTERSTATE","Ontario County",58,"asian/pacific islander","male","vehicular","NO HEAD LIGHT/ DRIVER SIDE",NA,NA,"gl - gold","suzi",NA,"1 - passenger",NA,2011,"- - ASIAN - EAST INDIAN",1
4017423,2014-10-28,19H 42M 0S,"I 87 NB MM30.9|87|1 - INTERSTATE","Rockland County",22,"other","female","vehicular","OP MV- MOBILE PHONE",NA,NA,"wh - white","toyt",NA,"1 - passenger","NY",2014,"- - OTHER",0
4017537,2014-11-20,19H 32M 0S,"ST17|17|2 - STATE","Tioga County",19,"white","male","vehicular","HUT/AFC  NO/SWITCHED TAX PERMIT/STICKER",NA,NA,"gy - grey","dodg",NA,"5 - truck","NY",2002,"- - WHITE",1
4018480,2014-11-24,19H 30M 0S,"490 WEST|490|1 - INTERSTATE","Monroe County",44,"white","male","vehicular","SPEED OVER 55 ZONE",76,55,"bl - blue","hond",NA,"1 - passenger","NY",1993,"- - WHITE",1
4018903,2014-11-12,19H 20M 0S,"CR-105|-|4 - TOWN","Orange County",61,"white","male","vehicular","DROVE ACROSS HAZARD MARKING",NA,NA,"br- brown","chry",NA,"1 - passenger","NY",2007,"- - WHITE",1
4019267,2014-10-22,19H 31M 0S,"STAET ROUTE 372|372|2 - STATE","Washington County",27,"white","male","vehicular","INADEQUATE/NO MUFFLER",NA,NA,"gr - green","suba",NA,"1 - passenger","VT",2000,"- - WHITE",0
4019449,2014-11-16,19H 28M 0S,"ST RTE 19|19|2 - STATE","Allegany County",47,"white","male","vehicular","NO/INADEQUATE PLATE LAMPS",NA,NA,"wh - white","chev",NA,"1 - passenger","NY",2005,"- - WHITE",1
4019729,2014-11-09,19H 57M 0S,"TRANSIT RD N/B @ SENECA|78|2 - STATE","Erie County",29,"white","male","vehicular","SPEED IN ZONE",62,45,"gy - grey","jeep",NA,"1 - passenger","NY",2002,"- - WHITE",1
4019768,2014-10-30,19H 40M 0S,"MSP NB SO SSP|MSPK|9 - PARKWAY","Nassau County",23,"white","male","vehicular","UNAUTHORIZED LIGHT",NA,NA,"bl - blue","mnni",NA,"1 - passenger","NY",2008,"- - WHITE",0
4019770,2014-11-26,19H 46M 0S,"CHILI AVE|-|6 - CITY","Monroe County",42,"white","male","vehicular","DRIVING WHILE INTOXICATED (MISD)",NA,NA,"wh - white","dodg",NA,"p - pick-up truck","NY",2008,"- - WHITE",1
4019849,2014-11-29,19H 47M 0S,"I-290 WB|290|1 - INTERSTATE","Erie County",58,"black","female","vehicular","SPEED OVER 55 ZONE",70,55,"wh - white","chev",NA,"1 - passenger","NY",NA,"- - BLACK",1
4020362,2014-10-07,19H 15M 0S,"SUNRISE HWY E/B E/O EXIT 64|27|2 - STATE","Suffolk County",51,"white","male","vehicular","NO PASSENGER SIDE HEAD LIGHT",NA,NA,"bk - black","chev",NA,"1 - passenger","NY",2006,"- - WHITE",0
4020402,2014-11-23,19H 36M 0S,"I81 N/B|81|1 - INTERSTATE","Jefferson County",45,"white","male","vehicular","SPEED IN ZONE",64,40,"wh - white","hond",NA,"1 - passenger",NA,2009,"- - WHITE",1
4020634,2014-10-13,19H 37M 0S,"I-190 S/B|190|1 - INTERSTATE","Erie County",38,"hispanic","male","vehicular","CONSUMPTION/ALCOHOL IN MOTR VEHICLE",NA,NA,"bk - black","toyt",NA,"1 - passenger","CT",2012,"- - HISPANIC",0
4020738,2014-10-19,19H 11M 0S,"MONTAUK HIGHWAY E/B W/O BELLOW POND RD|80|3 - COUNTY","Suffolk County",49,"hispanic","male","vehicular","NO/INADEQUATE LIGHTS(DRIVERSIDE HEADLIGHT OUT)",NA,NA,"wh - white","chry",NA,"1 - passenger","NY",1997,"- - HISPANIC",0
4020876,2014-10-11,19H 25M 0S,NA,"Orange County",47,"white","male","vehicular","DRIVING WHILE INTOXICATED (MISD)",NA,NA,"gy - grey","gmc",NA,"1 - passenger","NY",2012,"- - WHITE",0
4020937,2014-10-04,19H 36M 0S,"ST-14|14|2 - STATE","Yates County",52,"white","male","vehicular","SPEED OVER 55 ZONE",71,55,"wh - white","ford",NA,"5 - truck","NY",2010,"- - WHITE",0
4021244,2014-11-25,19H 18M 0S,"STATE HWY 23|23|2 - STATE","Otsego County",23,"white","male","vehicular","NO/INADEQUATE LIGHTS-DRIVER",NA,NA,"gy - grey","dodg",NA,"p - pick-up truck","NY",2004,"- - WHITE",1
4021712,2014-10-17,19H 19M 0S,"I86|86|1 - INTERSTATE","Chemung County",26,"white","female","vehicular","NO/INADEQUATE PLATE LAMPS",NA,NA,"bl - blue","gmc",NA,"p - pick-up truck","NY",2002,"- - WHITE",0
4021955,2014-11-08,19H 15M 0S,"ST RT 9W|9W|2 - STATE","Ulster County",16,"white","female","vehicular","FAILED TO DIM HEADLIGHTS",NA,NA,"gy - grey","volk",NA,"1 - passenger","NY",2004,"- - WHITE",1
4021966,2014-11-25,19H 38M 0S,"INTERSTATE 86E|86|1 - INTERSTATE","Steuben County",20,"white","male","vehicular","SPEED IN ZONE",80,65,"bk - black","infi",NA,"1 - passenger","NY",2003,"- - WHITE",1
4022284,2014-11-21,19H 18M 0S,"SSP EB 21|SSPK|9 - PARKWAY","Nassau County",47,"hispanic","male","vehicular","INADEQUATE MUFFLER",NA,NA,"wh - white","toyt",NA,"1 - passenger","NY",2001,"- - HISPANIC",1
4022435,2014-10-22,19H 15M 0S,"S/B SSP E/O EXIT 40|SSPK|9 - PARKWAY","Suffolk County",26,"hispanic","male","vehicular","FAILED TO USE DESIGNATED LANE",NA,NA,"bk - black","ford",NA,"1 - passenger","VA",1994,"- - HISPANIC",0
4022577,2014-10-23,19H 6M 0S,"NSP E/B E/OF MSP|NSPK|9 - PARKWAY","Nassau County",53,"other","male","vehicular","MOVED FROM LANE UNSAFELY",NA,NA,"bk - black","infi",NA,"1 - passenger","NY",2012,"- - OTHER",0
4022680,2014-10-01,19H 54M 0S,"STATE RT 291|291|2 - STATE","Oneida County",35,"white","male","vehicular","NO/INADEQUATE HEADLIGHTS - DRIVER'S SIDE",NA,NA,"wh - white","suba",NA,"1 - passenger","NY",1995,"- - WHITE",0
4022861,2014-10-11,19H 4M 0S,"COUNTY ROUTE 87|87|3 - COUNTY","Steuben County",56,"white","male","vehicular","DRIVING WHILE INTOXICATED (MISD)",NA,NA,"rd - red","chev",NA,"1 - passenger","MA",2005,"- - WHITE",0
4023025,2014-11-23,19H 55M 0S,"STATE ROUTE 4|4|2 - STATE","Washington County",38,"hispanic","male","vehicular","NO HEADLAMP PASSENGER",NA,NA,"bl - blue","toyt",NA,"1 - passenger","NY",2008,"- - HISPANIC",1
4023059,2014-10-11,19H 8M 0S,"SOUTH HAMILTON ST|417|3 - COUNTY","Steuben County",60,"white","male","vehicular","NO/INADEQUATE LIGHTS",NA,NA,NA,"suba",NA,"1 - passenger","PA",1996,"- - WHITE",0
4023120,2014-11-28,19H 46M 0S,"SR 11|11|2 - STATE","Oswego County",26,"white","male","vehicular","IMPROPER U TURN",NA,NA,"gy - grey","dodg",NA,"5 - truck","NY",2006,"- - WHITE",1
4023216,2014-10-12,19H 49M 0S,"I-88 E|88|1 - INTERSTATE","Chenango County",24,"white","male","vehicular","UNINSPECTED MOTOR VEHICLE (EXP 10-01-14)",NA,NA,"wh - white","chev",NA,"1 - passenger","NY",2013,"- - WHITE",0
4023255,2014-11-08,19H 36M 0S,"I87 NORTH (MPM 26.3)|87|1 - INTERSTATE","Rockland County",29,"white","male","vehicular","IMPROPER/NO SIGNAL",NA,NA,"gy - grey","volv",NA,"1 - passenger","CT",2004,"- - WHITE",1
4023870,2014-11-02,19H 2M 0S,"SSP|SSPK|9 - PARKWAY","Nassau County",23,"other","female","vehicular","OPER MV WHILE USING PORTABLE ELEC DEV",NA,NA,"wh - white","bmw",NA,"1 - passenger","NY",2001,"- - OTHER",0
4024415,2014-10-13,19H 33M 0S,"STATE ROUTE 40|40|2 - STATE","Washington County",85,"white","male","vehicular","AGGRAVATED UNLIC OPER 1ST DEGREE",NA,NA,"gr - green","ford",NA,"p - pick-up truck","NY",1998,"- - WHITE",0
4024717,2014-11-27,19H 42M 0S,"I-87|87|1 - INTERSTATE","Saratoga County",35,"white","male","vehicular","MOVED FROM LANE UNSAFELY",NA,NA,"bl - blue","hyun",NA,"1 - passenger",NA,2009,"- - WHITE",1
4024803,2014-10-05,19H 21M 0S,NA,"Rensselaer County",21,"white","male","vehicular","SPEED IN ZONE",50,30,"gy - grey","jeep",NA,"1 - passenger","NY",2004,"- - WHITE",0
4025170,2014-11-08,19H 57M 0S,"STATE ROUTE 20|20|2 - STATE","Columbia County",16,"asian/pacific islander","male","vehicular","DISOBEYED TRAFFIC CONTROL DEVICE",NA,NA,"gy - grey","toyt",NA,"1 - passenger","NY",2010,"- - ASIAN - EAST INDIAN",1
4025369,2014-10-18,19H 55M 0S,"PACKARD RD W/B|182|2 - STATE","Niagara County",38,"white","male","vehicular","NO/INADEQUATE LIGHTS",NA,NA,"gy - grey","suba",NA,"1 - passenger","NY",2008,"- - WHITE",0
4025612,2014-11-07,19H 38M 0S,"STATE ROUTE 22|22|2 - STATE","Rensselaer County",17,"white","male","vehicular","SPEED OVER 55 ZONE",74,55,"gy - grey","volk",NA,"1 - passenger","NY",2004,"- - WHITE",1
4025701,2014-10-13,19H 32M 0S,"I-86 W/B|86|1 - INTERSTATE","Steuben County",19,"black","male","vehicular","UNINSPECTED MOTOR VEHICLE",NA,NA,"gr - green","merz",NA,"1 - passenger","NY",1996,"- - BLACK",0
4025777,2014-11-27,19H 59M 0S,"ST HWY 17K|17K|2 - STATE","Orange County",46,"black","male","vehicular","BACK SEAT PASS LESS THAN 4 NO/IMP RESTRAINT",NA,NA,"gy - grey","hond",NA,"1 - passenger","NY",2001,"- - BLACK",1
4026249,2014-10-28,19H 15M 0S,"STATE ROUTE 30|30|2 - STATE","Hamilton County",27,"white","male","vehicular","NO/INADEQUATE PLATE LAMPS",NA,NA,"tn - tan","chev",NA,"1 - passenger","NY",2007,"- - WHITE",0
4026450,2014-10-20,19H 59M 0S,"SBP SB|SBPK|9 - PARKWAY","Westchester County",32,"white","male","vehicular","SPEED OVER 55 ZONE",80,55,"wh - white","infi",NA,"1 - passenger","NY",2013,"- - WHITE",0
4026476,2014-11-08,19H 50M 0S,"I-87|87|1 - INTERSTATE","Greene County",39,"white","female","vehicular","SPEED IN ZONE",84,65,"gy - grey","toyt",NA,"1 - passenger","NY",2005,"- - WHITE",1
4026546,2014-11-21,19H 0M 0S,"I 90|90|1 - INTERSTATE","Seneca County",20,"white","male","vehicular","DISOBEYED TRAFFIC CONTROL DEVICE",NA,NA,"gy - grey","volk",NA,"1 - passenger","NY",2003,"- - WHITE",1
4026652,2014-10-04,19H 28M 0S,"I-490 EB|490|1 - INTERSTATE","Monroe County",38,"white","male","vehicular","SPEED IN ZONE",64,40,"wh - white","ram",NA,"p - pick-up truck","NY",2014,"- - WHITE",0
4026664,2014-11-03,19H 24M 0S,"I-87|87|1 - INTERSTATE","Rockland County",51,"white","female","vehicular","SPEED OVER 55 ZONE",78,55,"bl - blue","bmw",NA,"1 - passenger","NY",2013,"- - WHITE",0
4026683,2014-11-18,19H 20M 0S,NA,"St Lawrence County",62,"white","female","vehicular","NO/INADEQUATE LIGHTS ( FRONT LEFT HEADLAMP)",NA,NA,"rd - red","niss",NA,"1 - passenger","NY",2008,"- - WHITE",1
4026805,2014-11-23,19H 54M 0S,"SR9|9|2 - STATE","Saratoga County",32,"other","male","vehicular","UNREGISTERED MOTOR VEHICLE",NA,NA,"tn - tan","hond",NA,"1 - passenger","FL",2004,"- - OTHER",1
4026918,2014-10-26,19H 0M 0S,"STATE ROUTE 226|226|2 - STATE","Steuben County",23,"white","female","vehicular","NO/INADEQUATE PLATE LAMPS",NA,NA,"rd - red","dodg",NA,"p - pick-up truck","NY",1997,"- - WHITE",0
4026938,2014-11-24,19H 39M 0S,NA,"Saratoga County",17,"white","male","vehicular","FOLLOWING TOO CLOSELY",NA,NA,"rd - red","mits",NA,"1 - passenger","NY",2009,"- - WHITE",1
4027306,2014-10-10,19H 54M 0S,"I-390 NORTH|390|1 - INTERSTATE","Monroe County",51,"white","female","vehicular","FLD/NOTIFY DMV CHANGE OF ADDRESS",NA,NA,"tn - tan","merc",NA,"1 - passenger","NY",2005,"- - WHITE",0
4027331,2014-11-01,19H 10M 0S,NA,"Oswego County",20,"white","female","vehicular","OFFER/SELLS LICENSE/REG/PLATES (MISD)",NA,NA,"gy - grey","hond",NA,"1 - passenger","NY",2003,"- - WHITE",0
4027381,2014-11-06,19H 59M 0S,"RT 12|12|2 - STATE","Broome County",26,"white","female","vehicular","NO/INADEQUATE LIGHTS",NA,NA,"gy - grey","volk",NA,"1 - passenger","NY",2012,"- - WHITE",0
4027531,2014-11-29,19H 40M 0S,"COUNTY ROUTE 2|2|3 - COUNTY","Oswego County",56,"white","male","vehicular","IMPROPER OR UNSAFE TURN/WITHOUT SIGNAL",NA,NA,"rd - red","ford",NA,"1 - passenger","NY",2013,"- - WHITE",1
4027640,2014-10-28,19H 43M 0S,NA,"Erie County",25,"black","female","vehicular","DISOBEYED TRAFFIC CONTROL DEVICE",NA,NA,"gy - grey","chry",NA,"1 - passenger","PA",2014,"- - BLACK",0
4027747,2014-11-11,19H 46M 0S,"I-287 E/B R/LANE|287|1 - INTERSTATE","Westchester County",30,"white","male","vehicular","SPEED OVER 55 ZONE",84,55,"yw - yellow","dodg",NA,"1 - passenger","PA",2004,"- - WHITE",1
4027805,2014-11-25,19H 45M 0S,"RT 11 S/B|11|2 - STATE","Onondaga County",25,"white","male","vehicular","INADEQUATE/NO MUFFLER",NA,NA,"gy - grey","hyun",NA,"1 - passenger","NY",2002,"- - WHITE",1
4027817,2014-11-03,19H 41M 0S,"NSP W/B|NSPK|9 - PARKWAY","Nassau County",34,"hispanic","male","vehicular","UNLICENSED OPERATOR",NA,NA,"rd - red","gmc",NA,"1 - passenger","SC",2002,"- - HISPANIC",0
4027851,2014-11-02,19H 58M 0S,"NORTHERN STATE PKWY E/B AT 25|NSPK|9 - PARKWAY","Nassau County",66,"black","male","vehicular","SPEED OVER 55 ZONE",78,55,"bk - black","cadi",NA,"1 - passenger","NY",2008,"- - BLACK",0
4028002,2014-11-29,19H 54M 0S,"ST-17 E/B|17|2 - STATE","Tioga County",37,"white","male","vehicular","NO/INADEQUATE PLATE LAMPS",NA,NA,"bl - blue","buic",NA,"1 - passenger","NY",1990,"- - WHITE",1
4028177,2014-11-08,19H 37M 0S,"STATE ROUTE 22|22|2 - STATE","Columbia County",38,"white","male","vehicular","NO/INADEQUATE LIGHTS",NA,NA,"gy - grey","hyun",NA,"1 - passenger","MA",2008,"- - WHITE",1
4028508,2014-11-22,19H 49M 0S,"I-81|81|1 - INTERSTATE","Onondaga County",51,"white","male","vehicular","FAILED TO KEEP RIGHT",NA,NA,"wh - white","dodg",NA,"1 - passenger","WV",1998,"- - WHITE",1
4028751,2014-10-17,19H 14M 0S,"I 290 W/B|290|2 - STATE","Erie County",23,"asian/pacific islander","female","vehicular","SPEED OVER 55 ZONE",75,55,"bk - black","chev",NA,"1 - passenger",NA,NA,"- - ASIAN - EAST INDIAN",0
4029180,2014-10-29,19H 51M 0S,"WASHINGTON ST N/B|36|2 - STATE","Monroe County",18,"white","male","vehicular","SPEED OVER 55 ZONE",73,55,"gy - grey","chev",NA,"1 - passenger","NY",2007,"- - WHITE",0
4029760,2014-11-20,19H 36M 0S,"NSP EB EO 35|NSPK|9 - PARKWAY","Nassau County",28,"other","female","vehicular","FOLLOWING TOO CLOSELY",NA,NA,"wh - white","niss",NA,"1 - passenger","NY",2010,"- - OTHER",1
4029779,2014-10-09,19H 43M 0S,"SSP E/B E OF 21|SSPK|9 - PARKWAY","Nassau County",22,"other","female","vehicular","UNINSPECTED MOTOR VEHICLE",NA,NA,"bl - blue","hond",NA,"1 - passenger","NY",2003,"- - OTHER",0
4029782,2014-10-30,19H 43M 0S,"ROCHESTER RD|15A|2 - STATE","Livingston County",43,"white","male","vehicular","DRIVING WHILE INTOXICATED (FELONY)",NA,NA,"or - orange","ford",NA,"p - pick-up truck","NY",2007,"- - WHITE",0
4030820,2014-10-09,19H 26M 0S,"STATE ROUTE 209|209|2 - STATE","Sullivan County",29,"white","female","vehicular","SPEED NOT REASONABLE & PRUDENT",NA,NA,"bk - black","ford",NA,"1 - passenger","NY",2009,"- - WHITE",0
4030980,2014-11-02,19H 31M 0S,"I87|87|1 - INTERSTATE","Ulster County",25,"white","female","vehicular","NO/INADEQUATE PLATE LAMPS",NA,NA,"gy - grey","suba",NA,"1 - passenger","NY",2007,"- - WHITE",0
4031021,2014-11-03,19H 56M 0S,"I-90 W/BMPM 426|90|1 - INTERSTATE","Erie County",29,"white","male","vehicular","MOVED FROM LANE UNSAFELY",NA,NA,"wh - white","ford",NA,"1 - passenger","NY",2008,"- - WHITE",0
4031074,2014-11-05,19H 20M 0S,"SR 5|5|2 - STATE","Cayuga County",39,"white","female","vehicular","SPEED OVER 55 ZONE",70,55,"gr - green","hond",NA,"1 - passenger","NY",2010,"- - WHITE",0
4031748,2014-10-12,19H 55M 0S,"SR 30|30|2 - STATE","Franklin County",32,"asian/pacific islander","male","vehicular","SPEED OVER 55 ZONE",73,55,"or - orange","bmw",NA,"1 - passenger","NY",2014,"- - ASIAN - EAST INDIAN",0
4031791,2014-11-11,19H 41M 0S,"INTERSTATE 190|190|1 - INTERSTATE","Niagara County",26,"white","male","vehicular","SPEED IN ZONE",70,45,"rd - red","jeep",NA,"1 - passenger","NY",2012,"- - WHITE",1
4031848,2014-10-26,19H 50M 0S,"I-81 N/B EXIT 8 OFF RAMP|81|1 - INTERSTATE","Broome County",46,"white","female","vehicular","FLD TO STOP @ STOP SIGN",NA,NA,"gy - grey","mazd",NA,"1 - passenger","NY",2003,"- - WHITE",0
4032057,2014-10-09,19H 26M 0S,"STATE ROUTE 209|209|2 - STATE","Sullivan County",29,"white","female","vehicular","LEAVING/SCENE PROPERTY DAMAGE ACC.",NA,NA,"bk - black","ford",NA,"1 - passenger","NY",2009,"- - WHITE",0
4032142,2014-10-24,19H 48M 0S,"STATE ROUTE 9|9|2 - STATE","Saratoga County",26,"white","female","vehicular","NO/INSUFFICIENT TAIL LAMPS PASSENGER SIDE",NA,NA,"bl - blue","kia",NA,"1 - passenger","NY",2005,"- - WHITE",0
4032201,2014-10-03,19H 44M 0S,"I-90W|90|1 - INTERSTATE","Erie County",35,"white","male","vehicular","DISOBEYED TRAFFIC CONTROL DEVICE",NA,NA,"gy - grey","bmw",NA,"1 - passenger","NY",2003,"- - WHITE",0
4032348,2014-11-29,19H 0M 0S,"ST-13 S/B|13|2 - STATE","Tompkins County",59,"white","male","vehicular","NO/INADEQUATE LIGHTS-PASSENGER HEADLIGHT OUT",NA,NA,"bl - blue","chev",NA,"p - pick-up truck","NY",2008,"- - WHITE",1
4032361,2014-11-21,19H 10M 0S,"COUNTY ROUTE 49|49|3 - COUNTY","Franklin County",17,"white","male","vehicular","INADEQUATE STOP LAMPS- D/S INNER LAMP ALWAYS ILLUM",NA,NA,"wh - white","pont",NA,"1 - passenger","NY",2000,"- - WHITE",1
4032647,2014-10-26,19H 8M 0S,"I-86 W/B|86|1 - INTERSTATE","Steuben County",57,"white","male","vehicular","SPEED IN ZONE",81,65,"bl - blue","audi",NA,"1 - passenger","NY",2014,"- - WHITE",0
4032663,2014-11-29,19H 58M 0S,"I-81 N/B MPM 48|81|1 - INTERSTATE","Cortland County",25,"asian/pacific islander","male","vehicular","SPEED IN ZONE",95,65,"wh - white","toyt",NA,"1 - passenger","NY",2011,"- - ASIAN - EAST INDIAN",1
4033180,2014-11-16,19H 56M 0S,"I-90WB|90|1 - INTERSTATE","Herkimer County",31,"white","male","vehicular","SPEED IN ZONE",78,65,"bl - blue","toyt",NA,"1 - passenger","NY",2008,"- - WHITE",1
4033837,2014-11-02,19H 36M 0S,"I-86 E/B|86|1 - INTERSTATE","Steuben County",30,"asian/pacific islander","male","vehicular","SPEED IN ZONE",80,65,"bl - blue","hyun",NA,"1 - passenger","NJ",2014,"- - ASIAN - EAST INDIAN",0
4034297,2014-11-21,19H 26M 0S,"I-86 E/B|86|1 - INTERSTATE","Steuben County",27,"white","female","vehicular","NO/INADEQUATE LIGHTS",NA,NA,"tn - tan","toyt",NA,"1 - passenger","NY",2006,"- - WHITE",1
4034688,2014-11-18,19H 39M 0S,"WITMER RD|31|2 - STATE","Niagara County",51,"other","female","vehicular","OPERATING WHILE REGISTRATION SUSP/REVOKED",NA,NA,"bl - blue","ford",NA,"1 - passenger","NY",2006,"- - OTHER",1
4034707,2014-11-30,19H 50M 0S,NA,"Erie County",32,"white","male","vehicular","UNREGISTERED MOTOR VEHICLE  EXP 10/31/14",NA,NA,"gy - grey","ford",NA,"1 - passenger","WA",1999,"- - WHITE",1
4035116,2014-11-15,19H 42M 0S,"STATE ROUTE 14|14|2 - STATE","Wayne County",33,"white","male","vehicular","CONSUMPTION/ALCOHOL IN MOTR VEHICLE",NA,NA,"bk - black","bmw",NA,"1 - passenger","NY",2000,"- - WHITE",1
4035208,2014-10-01,19H 1M 0S,"STATE ROUTE 30|30|2 - STATE","Franklin County",23,"white","male","vehicular","UNINSPECTED MOTOR VEHICLE 04/2014",NA,NA,"gr - green","chev",NA,"p - pick-up truck","NY",2002,"- - WHITE",0
4035362,2014-11-10,19H 31M 0S,"86 WB|86|1 - INTERSTATE","Chemung County",30,"hispanic","male","vehicular","NO HUT STICKER",NA,NA,"wh - white","frht",NA,"6 - truck/tractor","CA",2015,"- - HISPANIC",1
4035401,2014-11-05,19H 59M 0S,NA,"Ontario County",26,"white","male","vehicular","UNLICENSED OPERATOR",NA,NA,"bk - black","hond",NA,"1 - passenger","OH",1998,"- - WHITE",0
4035464,2014-11-24,19H 4M 0S,"SR 37|37|2 - STATE","St Lawrence County",28,"other","male","vehicular","NO/INADEQUATE LIGHTS",NA,NA,"rd - red","ford",NA,"p - pick-up truck","NY",2000,"- - NATIVE AMERICAN",1
4035529,2014-10-31,19H 30M 0S,"I99 N/B|99|2 - STATE","Steuben County",39,"asian/pacific islander","male","vehicular","OPER MV WHILE USING PORTABLE ELEC DEV",NA,NA,"rd - red","toyt",NA,"1 - passenger","MD",2010,"- - ASIAN - EAST INDIAN",0
4035673,2014-11-08,19H 3M 0S,"I-81 N/B|81|1 - INTERSTATE","Jefferson County",51,"white","male","vehicular","FLD DUE CARE FOR EMERG VEH STOPPED OR STANDING",NA,NA,"wh - white","toyt",NA,"1 - passenger","NY",2012,"- - WHITE",1
4035832,2014-10-05,19H 6M 0S,"S/B SAGTIKOS STATE PKWY|SAPK|9 - PARKWAY","Suffolk County",80,"white","male","vehicular","SPEED OVER 55 ZONE",78,55,"bl - blue","lexs",NA,"1 - passenger","NY",2011,"- - WHITE",0
4035894,2014-11-09,19H 50M 0S,"I87|87|1 - INTERSTATE","Warren County",27,"asian/pacific islander","male","vehicular","SPEED IN ZONE",80,65,"bl - blue","ford",NA,"1 - passenger",NA,2008,"- - ASIAN - EAST INDIAN",1
4036038,2014-11-13,19H 50M 0S,"SR-11|11|2 - STATE","Clinton County",24,"white","male","vehicular","NO/INADEQUATE LIGHTS",NA,NA,"gy - grey","chev",NA,"1 - passenger","NY",2008,"- - WHITE",1
