ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,prod_long_desc,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,Licensed
10+,9.99,3,101,4,Save the universe with LEGO® BrickHeadz Iron Man MK50!,41604,"This Iron Man MK50 LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details from the blockbuster Avengers: Infinity War movie, including his electromechanic armor suit. He also has thrusters for a speedy getaway and stands on a buildable collector's baseplate for easy display in your home, office or anywhere you like.
Buildable Iron Man MK50 LEGO® BrickHeadz construction character features BrickHeadz eyes and authentic details from the blockbuster Avengers: Infinity War movie, including thrusters and iconic armor and mask.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Avengers: Infinity War movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create super-cool hybrids or your own amazing characters.
This construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Average,Iron Man MK50,4.7,BrickHeadz,4.5,US,Non-Licensed
10+,9.99,2,105,3,Feel the power of Infinity with LEGO® BrickHeadz Thanos!,41605,"This Thanos LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details from the blockbuster Avengers: Infinity War movie, including purple skin, chest armor and Infinity Gauntlet with Infinity gem decorations. He also stands on a buildable collector's baseplate for easy display in your home, office or anywhere you like.
Buildable Thanos LEGO® BrickHeadz construction character features BrickHeadz eyes and authentic details from the blockbuster Avengers Infinity War movie, including purple skin, chest armor and Infinity Gauntlet with Infinity gem decorations.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Avengers: Infinity War movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create super-cool hybrids or your own amazing characters.
This construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Easy,Thanos,5,BrickHeadz,5,US,Non-Licensed
10+,9.99,1,113,5,Be a legendary outlaw with LEGO® BrickHeadz Star-Lord!,41606,"This Star-Lord LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details from the blockbuster Avengers: Infinity War movie, including golden hair, battle helmet, red eyes and boot rockets. He also has dual detachable blasters and stands on a buildable collector's baseplate for easy display in your home, office or any galaxy you like.
Buildable Star-Lord LEGO® BrickHeadz construction character features authentic details from the blockbuster Avengers: Infinity War movie, including golden hair, battle helmet, red eyes and boot rockets, plus dual detachable blasters.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Avengers: Infinity War movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create super-cool hybrids or your own amazing characters.
This construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Easy,Star-Lord,5,BrickHeadz,5,US,Non-Licensed
10+,9.99,1,136,NA,Master the skills of a green-skinned assassin with LEGO® BrickHeadz Gamora!,41607,"This Gamora LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of her iconic details from the blockbuster Avengers: Infinity War movie, including green skin, dark pink hair highlights and black outfit. She also has a detachable sword and stands on a buildable collector's baseplate for easy display in your home, office or anywhere you like.
Buildable Gamora LEGO® BrickHeadz construction character features BrickHeadz eyes and authentic details from the Avengers: Infinity War movie, including vibrant green skin, dark pink hair and sleek black outfit, plus a detachable sword.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Avengers: Infinity War movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create super-cool hybrids or your own amazing characters.
This construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",NA,Gamora,5,BrickHeadz,NA,US,Non-Licensed
10+,9.99,2,91,3,Join the Resistance with a LEGO® BrickHeadz construction character featuring Finn!,41485,"This LEGO® BrickHeadz construction character featuring Finn is fun to build using LEGO bricks that recreate all of his iconic details from the blockbuster Star Wars: The Force Awakens movie, including First Order Stormtrooper armor and utility belt. He also has a detachable blaster pistol and stands on a buildable collector’s baseplate with BrickHeadz icon for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz construction character featuring Finn has BrickHeadz eyes and authentic details from the blockbuster Star Wars: The Force Awakens movie, including iconic white First Order Stormtrooper armor, utility belt and a detachable blaster pistol.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other characters from the Star Wars saga, and many more from your favorite Star Wars films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create supercool hybrids or your own amazing characters.
This fun construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square and under 1” (1cm) high.",Easy,Finn,4.5,BrickHeadz,4,US,Non-Licensed
10+,9.99,7,140,3.2,Say “I love you” with a LEGO® BrickHeadz™ Valentine's Bee!,40270,"Build your way to someone’s heart and say “Bee my Valentine’s honey” with this cute LEGO® BrickHeadz™ construction character. Check out its cute pink cheeks, movable wings, detachable heart decoration, pot of honey, and roses and sunflowers. It also comes with a buildable collector's baseplate with a seasonal calendar and BrickHeadz logo for your loved one to display in their home, office or anywhere they like.
Buildable LEGO® BrickHeadz™ Valentine's Bee construction character features decorated eyes, movable wings, detachable heart decoration and a pot of honey.
Also includes buildable roses and sunflowers.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate featuring a seasonal calendar and BrickHeadz logo.
Have fun growing your LEGO® BrickHeadz™ collection with other characters from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz™ construction characters to create supercool hybrids or your own amazing characters.
Stands over 3” (9cm) tall without baseplate.
Baseplate measures over 4” (12cm) wide and 1” (5cm) deep.",Easy,Valentine's Bee,4.9,BrickHeadz,4.7,US,Non-Licensed
10+,9.99,5,143,4.6,Stand tall with LEGO® BrickHeadz Wonder Woman™!,41599,"This Wonder Woman™ LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of her iconic details, including flowing black hair, headdress and gauntlets. She also has a detachable sword and shield in her hands, and stands on a buildable collector's baseplate with BrickHeadz icon for easy display. Add some Amazonian Warrior power to your home, office or anywhere you like.
Buildable Wonder Woman™ LEGO® BrickHeadz construction character features authentic details from the blockbuster Justice League movie, including BrickHeadz eyes, headdress and gauntlets, plus a detachable sword and shield.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate featuring the BrickHeadz icon.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Justice League movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create supercool hybrids or your own amazing characters.
This popular construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square and under 1” (1cm) high.",Easy,Wonder Woman™,5,BrickHeadz,5,US,Non-Licensed
10+,9.99,3,122,2.7,Live life in the fast lane with LEGO® BrickHeadz The Flash™!,41598,"The Flash™ LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details, including buildable golden ear wings and lightning chest logo. He also stands on a buildable collector’s baseplate with BrickHeadz icon for easy display in your home, office or anywhere you like.
Buildable The Flash™ LEGO® BrickHeadz construction character features authentic details from the blockbuster Justice League movie, including BrickHeadz eyes, buildable golden ear wings and a lightning chest logo.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate featuring the BrickHeadz icon.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Justice League movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create supercool hybrids or your own amazing characters.
This cool construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square and under 1” (1cm) high.",Very Easy,The Flash™,4,BrickHeadz,3,US,Non-Licensed
10+,9.99,5,130,4.3,Summon the dark side with a LEGO® BrickHeadz construction character featuring Kylo Ren™!,41603,"This LEGO® BrickHeadz construction character featuring Kylo Ren™ is fun to build using LEGO bricks that recreate all of his iconic details from the blockbuster Star Wars: The Last Jedi movie, including decorated torso and belt. He also has a detachable Lightsaber and stands on a buildable collector's baseplate with BrickHeadz icon for easy display in your home, office or any galaxy you choose.
Buildable LEGO® BrickHeadz construction character featuring Kylo Ren™ has authentic details from the blockbuster Star Wars: The Last Jedi movie, including iconic robe and detachable cross-guard Lightsaber.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate featuring the BrickHeadz icon.
Have fun growing your LEGO® BrickHeadz collection with other classic characters, including 41602 Rey, and many more of your favorite Star Wars characters.
Mash up your LEGO® BrickHeadz construction characters to create supercool hybrids or your own amazing characters.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square and under 1” (1cm) high.",Easy,Kylo Ren™,5,BrickHeadz,4.8,US,Non-Licensed
10+,9.99,3,119,4.5,Feel the Force with a LEGO® BrickHeadz construction character featuring Rey!,41602,"This LEGO® BrickHeadz construction character featuring Rey is fun to build using colorful LEGO bricks that recreate all of her iconic details from the blockbuster Star Wars: The Last Jedi movie, including decorated torso and belt. She also has a detachable Lightsaber and stands on a buildable collector's baseplate with BrickHeadz icon for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz construction character featuring Rey has authentic details from the blockbuster Star Wars: The Last Jedi movie, including iconic costume and a detachable Lightsaber.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate featuring the BrickHeadz icon.
Have fun growing your LEGO® BrickHeadz collection with other characters from the Star Wars movie saga, including 41603 Kylo Ren™, and many more of your favorite Star Wars characters.
Mash up your LEGO® BrickHeadz construction characters to create supercool hybrids or your own amazing characters.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square and under 1” (1cm) high.",Easy,Rey,5,BrickHeadz,4.5,US,Non-Licensed
